==== FILE = /Users/maksimus/RiderProjects/CompGraph/Assets/cow.obj
(-0,257988|0,12443|0,092001) (-0,249984|0,11915|0,153256) (-0,228357|0,118817|0,147829)
(-0,259213|0,136601|0,051328) (-0,257988|0,12443|0,092001) (-0,218654|0,143061|0,085118)
(-0,263542|0,138725|0,019806) (-0,259213|0,136601|0,051328) (-0,22558|0,152101|0,04244)
(-0,26756|0,129846|-0,002613) (-0,263542|0,138725|0,019806) (-0,216824|0,155564|-0,029951)
(-0,252761|0,10835|-0,049368) (-0,26756|0,129846|-0,002613) (-0,216824|0,155564|-0,029951)
(-0,177147|0,027359|0,213943) (-0,285039|0,002083|0,229724) (-0,175465|0,000894|0,222048)
(-0,278423|0,082222|0,206258) (-0,276561|0,04276|0,219878) (-0,210552|0,05666|0,210707)
(-0,259213|0,136601|0,051328) (-0,28267|0,119576|0,101837) (-0,257988|0,12443|0,092001)
(-0,216563|0,129119|-0,070908) (-0,175955|0,13481|-0,090198) (-0,171936|0,090919|-0,109723)
(-0,276561|0,04276|0,219878) (-0,285039|0,002083|0,229724) (-0,177147|0,027359|0,213943)
(-0,319031|0,130729|0,083495) (-0,333765|0,124628|0,132303) (-0,28267|0,119576|0,101837)
(-0,283095|0,142188|0,046742) (-0,319031|0,130729|0,083495) (-0,259213|0,136601|0,051328)
(-0,302337|0,141804|0,010058) (-0,283095|0,142188|0,046742) (-0,259213|0,136601|0,051328)
(-0,310652|0,123418|-0,037773) (-0,302337|0,141804|0,010058) (-0,263542|0,138725|0,019806)
(-0,316434|0,098017|-0,076305) (-0,310652|0,123418|-0,037773) (-0,282082|0,099564|-0,047354)
(-0,381414|0,051716|0,226595) (-0,337833|0,001589|0,236597) (-0,285039|0,002083|0,229724)
(-0,383145|0,084584|0,20617) (-0,381414|0,051716|0,226595) (-0,278423|0,082222|0,206258)
(-0,384387|0,022738|0,231972) (-0,393665|0,001325|0,246609) (-0,337833|0,001589|0,236597)
(-0,381414|0,051716|0,226595) (-0,384387|0,022738|0,231972) (-0,337833|0,001589|0,236597)
(-0,363854|0,118023|0,145991) (-0,383145|0,084584|0,20617) (-0,345102|0,112047|0,17107)
(-0,356422|0,123543|0,078763) (-0,363854|0,118023|0,145991) (-0,319031|0,130729|0,083495)
(-0,401996|0,088702|0,185345) (-0,439974|0,049094|0,182998) (-0,409461|0,05842|0,213591)
(-0,407729|0,089252|-0,092369) (-0,400934|0,096615|-0,059586) (-0,375141|0,113708|-0,090756)
(-0,424619|0,088603|0,075966) (-0,439974|0,049094|0,182998) (-0,401996|0,088702|0,185345)
(-0,401097|0,102451|-0,013212) (-0,424619|0,088603|0,075966) (-0,386723|0,116097|0,059149)
(-0,400934|0,096615|-0,059586) (-0,401097|0,102451|-0,013212) (-0,369212|0,129244|-0,011843)
(-0,426514|0,067527|0,045021) (-0,443355|0,038081|0,138873) (-0,424619|0,088603|0,075966)
(-0,315209|0,140387|0,044298) (-0,369212|0,129244|-0,011843) (-0,386723|0,116097|0,059149)
(-0,356422|0,123543|0,078763) (-0,386723|0,116097|0,059149) (-0,410572|0,090664|0,133173)
(-0,363854|0,118023|0,145991) (-0,410572|0,090664|0,133173) (-0,401996|0,088702|0,185345)
(-0,383145|0,084584|0,20617) (-0,401996|0,088702|0,185345) (-0,409461|0,05842|0,213591)
(-0,426073|0,091345|-0,13883) (-0,407729|0,089252|-0,092369) (-0,375141|0,113708|-0,090756)
(-0,433604|0,027499|0,1263) (-0,443355|0,038081|0,138873) (-0,426514|0,067527|0,045021)
(-0,443355|0,038081|0,138873) (-0,433604|0,027499|0,1263) (-0,437851|0,003256|0,132068)
(-0,417007|0,008687|0,245074) (-0,393665|0,001325|0,246609) (-0,384387|0,022738|0,231972)
(0,436241|0,032432|0,227289) (0,448002|0,037822|0,184641) (0,418077|0,058918|0,23031)
(0,40612|0,060102|0,218294) (0,395175|0,05963|0,189158) (0,368631|0,05855|0,231767)
(0,449962|0,016268|0,226331) (0,436241|0,032432|0,227289) (0,438005|0,007623|0,241183)
(0,436241|0,032432|0,227289) (0,449962|0,016268|0,226331) (0,448002|0,037822|0,184641)
(0,448002|0,037822|0,184641) (0,45416|0,037349|0,153979) (0,40612|0,060102|0,218294)
(0,395175|0,05963|0,189158) (0,38397|0,064614|0,158731) (0,354747|0,06693|0,203599)
(0,395175|0,05963|0,189158) (0,354747|0,06693|0,203599) (0,368631|0,05855|0,231767)
(0,488676|0,010068|0,197009) (0,494932|0,029493|0,178999) (0,449962|0,016268|0,226331)
(0,488676|0,010068|0,197009) (0,516494|0,017971|0,1829) (0,494932|0,029493|0,178999)
(0,45416|0,037349|0,153979) (0,488757|0,039618|0,14998) (0,46615|0,032557|0,140203)
(0,398263|0,033953|0,121949) (0,446712|0,008568|0,130269) (0,362685|0,013781|0,11532)
(0,38397|0,064614|0,158731) (0,402232|0,046612|0,137905) (0,362293|0,06112|0,152473)
(0,362293|0,06112|0,152473) (0,398263|0,033953|0,121949) (0,348637|0,029966|0,11708)
(0,348637|0,029966|0,11708) (0,335063|0,04804|0,139841) (0,362293|0,06112|0,152473)
(0,362293|0,06112|0,152473) (0,402232|0,046612|0,137905) (0,398263|0,033953|0,121949)
(0,354747|0,06693|0,203599) (0,38397|0,064614|0,158731) (0,362293|0,06112|0,152473)
(0,334001|0,025775|0,303405) (0,360611|0,021279|0,302476) (0,36066|0,037245|0,299152)
(0,360611|0,021279|0,302476) (0,400713|0,00255|0,273184) (0,38624|0,026705|0,280341)
(0,178461|-0,050288|-0,099975) (0,186106|-0,036299|-0,112969) (0,210102|-0,03295|-0,091958)
(0,150447|-0,043221|-0,113351) (0,186106|-0,036299|-0,112969) (0,178461|-0,050288|-0,099975)
(0,178723|0,036814|-0,115326) (0,19429|0,043341|-0,107181) (0,186106|-0,036299|-0,112969)
(0,154841|0,000592|-0,116734) (0,178723|0,036814|-0,115326) (0,186106|-0,036299|-0,112969)
(0,098993|0,005504|-0,111366) (0,154841|0,000592|-0,116734) (0,150447|-0,043221|-0,113351)
(0,18591|-0,091972|0,001552) (0,184407|-0,064738|-0,031398) (0,194127|-0,065751|-0,001841)
(-0,202107|-0,063014|-0,12305) (-0,175759|-0,074095|-0,133101) (-0,180202|-0,087003|-0,108589)
(-0,21542|-0,069925|-0,122189) (-0,202107|-0,063014|-0,12305) (-0,180202|-0,087003|-0,108589)
(-0,134709|-0,081021|-0,132768) (-0,180202|-0,087003|-0,108589) (-0,175759|-0,074095|-0,133101)
(-0,130119|-0,091058|-0,116734) (-0,180202|-0,087003|-0,108589) (-0,134709|-0,081021|-0,132768)
(-0,074646|-0,078872|-0,117848) (-0,130119|-0,091058|-0,116734) (-0,134709|-0,081021|-0,132768)
(-0,089642|-0,035635|-0,136894) (-0,074646|-0,078872|-0,117848) (-0,134709|-0,081021|-0,132768)
(-0,176592|-0,039254|-0,136611) (-0,129662|-0,037701|-0,139818) (-0,134709|-0,081021|-0,132768)
(-0,176592|-0,039254|-0,136611) (-0,175759|-0,074095|-0,133101) (-0,202107|-0,063014|-0,12305)
(-0,202107|-0,063014|-0,12305) (-0,231542|-0,031808|-0,124692) (-0,176592|-0,039254|-0,136611)
(-0,089642|-0,035635|-0,136894) (0,012238|-0,0009860001|-0,111112) (0,015277|-0,037514|-0,106243)
